ids,year,spawners,by_recruits,RS,LNRS,seals,hatch,new_seals,new_hatch
1,1985,3675,29225.71521,7.952575568,2.073495847,0.539173818,1.9598625,0.539173818,1.9598625
1,1986,2147,57985.52881,27.00769856,3.296121957,0.648440872,2.2636489,0.648440872,2.2636489
1,1987,2519,34166.45701,13.5635002,2.607382376,0.728428884,2.8924724,0.728428884,2.8924724
1,1988,6878,105730.3014,15.37224504,2.732563614,0.838726815,2.8618891,0.838726815,2.8618891
1,1989,5535,44998.71186,8.129848575,2.095542298,0.968240516,2.8770851,0.968240516,2.8770851
1,1990,5626,38403.98815,6.82616213,1.920762602,0.928189222,3.2566018,0.928189222,3.2566018
1,1991,7408,27023.74764,3.647914099,1.294155524,0.88866074,2.8356322,0.88866074,2.8356322
1,1992,10250,46368.97738,4.523802671,1.509352939,1.10941637,2.7348318,1.10941637,2.7348318
1,1993,7030,34784.44227,4.948000323,1.59898352,1.384003996,2.3876994,1.384003996,2.3876994
1,1994,6407,25630.48386,4.000387679,1.386391276,1.385552232,2.5703071,1.385552232,2.5703071
1,1995,16449,10397.92776,0.632131301,-0.458658152,1.39492308,2.1361486,1.39492308,2.1361486
1,1996,14595,17922.16418,1.227966028,0.205359165,1.232249334,2.7264,1.232249334,2.7264
1,1997,9973,11384.05743,1.14148776,0.132332464,1.086428993,2.2245584,1.086428993,2.2245584
1,1998,5858,12009.96423,2.050181671,0.717928409,1.232639414,2.8200404,1.232639414,2.8200404
1,1999,6110,13266.89395,2.171341072,0.775344982,1.395434734,2.8650206,1.395434734,2.8650206
1,2000,6638,17716.27982,2.668918322,0.981673267,1.409350033,2.4701908,1.409350033,2.4701908
1,2001,5015,12201.84409,2.43306961,0.889153674,1.426010343,3.0659123,1.426010343,3.0659123
1,2002,4115,9401.238035,2.284626497,0.826202552,1.443770471,2.6614572,1.443770471,2.6614572
1,2003,3356,6434.699046,1.917371587,0.650955283,1.405803823,2.6597624,1.405803823,2.6597624
1,2005,2467,4677.921484,1.896198413,0.639851046,1.334508052,2.3092692,1.334508052,2.3092692
1,2006,1775,7604.565304,4.284262143,1.454948342,1.300227771,2.3972887,1.300227771,2.3972887
